ten_dia_diem,dia_chi
Lotte Center Hanoi,"54 P. Liễu Giai, Giảng Võ, Hà Nội, Việt Nam"
Vincom Center Bà Triệu,"191 P. Bà Triệu, Hai Bà Trưng, Hà Nội, Việt Nam"
Tràng Tiền Plaza,"24 P. Hai Bà Trưng, Cửa Nam, Hà Nội, Việt Nam"
Vincom Mega Mall Royal City,"72A Nguyễn Trãi, Thanh Xuân, Hà Nội, Việt Nam"
Aeon Mall Long Biên,"27 Đ. Cổ Linh, Long Biên, Hà Nội, Việt Nam"
Phở Thìn Bờ Hồ (Hàng Vôi),"19 P. Hàng Vôi, Hoàn Kiếm, Hà Nội, Việt Nam"
Bún chả Hương Liên (Bún chả Obama),"24 P. Lê Văn Hưu, Cửa Nam, Hà Nội, Việt Nam"
Bánh tôm Hồ Tây (Thanh Niên),"Thanh Niên, Tây Hồ, Hà Nội, Việt Nam"
Vua chả cá,"269 P. Giảng Võ, Ô Chợ Dừa, Hà Nội, Việt Nam"
Bún đậu mắm tôm Ngõ Trạm,"1B Ng. Trạm, Phố cổ Hà Nội, Hoàn Kiếm, Hà Nội"
Phở cuốn Hương Mai (Ngũ Xã),"25 P. Ngũ Xã, Ba Đình, Hà Nội, Việt Nam"
Nộm Long Vi Dung (Hàng Bạc),"P. Hồ Hoàn Kiếm/23 P. Hàng Bạc, Hoàn Kiếm, Hà Nội"
Bánh mì Trâm,"30 P. Đình Ngang, Cửa Nam, Hà Nội, Việt Nam"
Miến lươn Chân Cầm,"1 P. Chân Cầm, Hoàn Kiếm, Hà Nội, Việt Nam"
Xôi Yến (Nguyễn Hữu Huân),"35b P. Nguyễn Hữu Huân, Hoàn Kiếm, Hà Nội"
Loading T Cafe (Chân Cầm - Vintage),"8 P. Chân Cầm, Hoàn Kiếm, Hà Nội, Việt Nam"
All Day Coffee (Quang Trung),"37 P. Quang Trung, Cửa Nam, Hà Nội, Việt Nam"
Cafe Giảng (Cà phê trứng nổi tiếng),"39 P. Nguyễn Hữu Huân, Hoàn Kiếm, Hà Nội"
Blackbird Coffee (Chân Cầm),"5 P. Chân Cầm, Hoàn Kiếm, Hà Nội, Việt Nam"
Cotero Coffee (Tây Hồ),"80 Từ Hoa, Tây Hồ, Hà Nội, Việt Nam"
La Mensa (Tông Đản),"8 Tông Đản, Hoàn Kiếm, Hà Nội, Việt Nam"
Ban Công Cafe (Đinh Liệt - Biệt thự cổ),"2 Đinh Liệt, Hoàn Kiếm, Hà Nội, Việt Nam"
Yên Cafe (Quán Thánh),"182-184 P. Quán Thánh, Ba Đình, Hà Nội"
Hasu Cafe (Hàng Chuối),"12 Hàng Chuối, Hai Bà Trưng, Hà Nội, Việt Nam"
Atelier Coffee (Nguyễn Thượng Hiền),"45 Nguyễn Thượng Hiền, Hai Bà Trưng, Hà Nội"
Đền Ngọc Sơn (Hồ Hoàn Kiếm),"Đinh Tiên Hoàng, Hoàn Kiếm, Hà Nội, Việt Nam"
Lăng Chủ tịch Hồ Chí Minh,"1 Hùng Vương, Điện Biên, Ba Đình, Hà Nội"
Văn Miếu - Quốc Tử Giám,"58 Quốc Tử Giám, Văn Miếu, Đống Đa, Hà Nội"
Chùa Trấn Quốc (Hồ Tây),"Thanh Niên, Tây Hồ, Hà Nội, Việt Nam"
Nhà thờ Lớn Hà Nội,"1 P. Nhà Thờ, Hoàn Kiếm, Hà Nội, Việt Nam"
